Timestamp,How are you currently using Rust to make games? Select the most intensive (last) option that applies.,What Rust-based game engine do you primarily use?,"What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Long compile and iteration times]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Problems with Rust itself (other than compile times)]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Problems in platform-abstracting crates like winit or wgpu]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Inadequate learning materials or docs]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Poor tooling for artists and game designers]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Difficulty paying to get open source problems fixed]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Lack of console support]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Immature mobile support]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Immature web support]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Bugs in the engine I use]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Missing features in the engine I use]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Difficulty hiring experts who know Rust]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Poor performance]","If you could magically add or fix three things about Rust itself, what would they be?"
4/29/2024 13:33:58,"I work by myself, but have a project that I have or am planning to sell.",Bevy,4,1,0,4,2,0,0,0,2,0,1,0,0,the error messages involved with bevy system parameters are a major pain point. I would also personally greatly enjoy if modules (mod.rs keyword for modules in a folder) were renamed to something that would alphabetically appear at the top of any such directory)
4/29/2024 13:37:12,I have at least one serious hobbyist project that I have or am planning to ship.,Macroquad,1,1,0,0,0,0,0,0,0,0,1,0,0,Errors can always be better despite how good they are. There are never enough utility functions. Macro's   are a bit of a pain.
4/29/2024 13:42:24,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,2,0,0,1,0,0,0,0,0,0,0,1,0,"I can only really think of one thing which is ""The compile times™"" Though they are not *that* bad (Around 20 seconds for me when using bevy), it adds up over time. With that being said, it is really not that bad as it seems, as I just use cargo check which is by far fast enough"
4/29/2024 13:44:34,"I work by myself, but have a project that I have or am planning to sell.",Bevy,4,0,1,1,2,0,1,4,0,1,5,0,2,"Iterative compile times (especially on Windows, I switched to Linux because of this), orphan rule, official compile time reflection (if were talking ""magically"" might as well go big lol)"
4/29/2024 13:51:07,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,4,2,3,0,1,1,0,1,1,1,4,1,0,"Compile times, specialization, mature ui library"
4/29/2024 13:51:40,Tried Rust for gamedev. Too much ceremony needed for everything. It was not fun.,Tried Fyrox. Great engine but Rust was the limitation.,3,5,3,1,5,0,0,2,0,1,2,0,0,Rust is good at what it was meant for. Those qualities just don't translate well to gamedev.
4/29/2024 13:56:57,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,3,1,1,3,4,0,0,0,2,1,1,0,1,"Better hot reloading support for code. This would majorly help the fast iteration cycle because you wouldn't need to recompile the code, just magically patch in the section that changed at runtime.

A stable, opt-in ABI (including vtables!). This adds in to the previous point. If there is a stable ABI (crabi?) that supports traits, generics, fat pointers, and more, then hot reloading would be even easier. (It would also make `bevy_dynamic_plugin` work!)

Finally, top-level module proc-macros. I'm not sure if this is possible already, but I would love to write `#!my_proc_macro` at the top of any module to transform all of the code it contains. This could lead to something like automatic system registration, automatic reflect derives, and more."
4/29/2024 14:08:05,I have at least one serious hobbyist project that I have or am planning to ship.,Godot,1,2,0,0,0,0,0,0,0,0,0,0,0,Features for easier and faster iteration
4/29/2024 14:08:14,I don't make games in Rust.,Bevy,5,5,0,1,0,0,0,0,0,5,3,0,0,"Better Compile Times, A native rust debugger"
4/29/2024 14:11:42,"I work by myself, but have a project that I have or am planning to sell.",Bevy,3,1,2,0,0,0,0,0,5,3,0,0,1,"Make it easier to prototype code in, get rid of the orphan rule, no idea on #3"
4/29/2024 14:13:37,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,0,2,5,0,0,0,0,0,0,0,1,0,0,"add compile time reflection, make rust analyzer work reliably, automatically prevent semver violations in cargo"
4/29/2024 14:16:33,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,4,0,0,2,3,0,0,0,3,1,5,0,1,No orphan rule!
4/29/2024 14:18:05,I am part of a company that uses Rust game tools to make things that are not games.,Fyrox,0,0,0,0,0,0,0,4,0,0,0,0,0,"If you could magically add or fix three things about Rust itself, what would they be?"
4/29/2024 14:24:19,"I work by myself or in a tiny team, and am attempting to support myself financially by selling games made in Rust.",Godot-GDNative,0,1,0,0,0,0,0,0,0,1,1,0,0,"Remove the orphan rules
Remove RFC 1023
Magically allow all traits to be converted into objects (Box<dyn Trait>)"
4/29/2024 14:24:59,"I work by myself, but have a project that I have or am planning to sell.",Bevy,0,1,0,0,0,0,3,0,0,2,5,0,0,"Partial borrows, removing the Orphan Rule for binary crates, LSP/debugger improvements"
4/29/2024 14:32:57,I work with Rust outside of games but I want to make games in it when the tools are more mature,I have only tried Fyrox and Bevy but both are currently lacking,5,3,5,4,5,1,2,0,3,4,5,0,5,"Compile times (and hot recompiles :) ), GC, better debugging"
4/29/2024 14:36:51,"Actually, I only use Rust to make game engines or tools for gamedev.",Chuột,4,1,0,0,4,0,0,2,4,0,0,0,0,"Hot reloadable code, more control over the build pipeline and reflection"
4/29/2024 14:38:10,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,0,0,0,4,4,0,0,0,0,0,4,0,0,"Not game related and just one, but ""enum variants as types"""
4/29/2024 14:40:13,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,4,3,4,1,4,0,0,0,0,1,3,0,3,"Orphan rule, compile times, and coroutines."
4/29/2024 14:43:58,I am part of a company that is using Rust to make games.,No engine / in-house engine,4,1,2,1,1,2,2,1,0,1,2,1,0,"5x faster compile times, incl incremental ones.
drop/make orphan rule more flexible.
a fully sandboxed & distributable cargo2 build system"
4/29/2024 14:44:38,I have at least one serious hobbyist project that I have or am planning to ship.,No engine / in-house engine,5,2,3,1,3,2,0,0,0,0,0,1,0,"proc-macro caching (iteration time improvement), if-let chains, orphan rule override"
4/29/2024 14:56:26,"I work by myself, but have a project that I have or am planning to sell.",No engine / in-house engine,3,1,5,0,2,0,3,0,1,0,2,0,0,"Removing numeric as-casting and providing a syntactical sugar alternative based on TryInto. 
Doing anything math-heavy becomes really cumbersome and difficult to read. Some as_f32!(a+b * c, etc) macro that turns everything into the into or try_into for f32, and then returns a Result would reduce all the noise.  

 Either significantly remove compile times by a factor of x100 or make crate maintainers not depend heavily on dependencies that blow up compile time. It is kinda difficult to justify having winit+wgpu, the most popular ""low level"" combination, pull in 140 dependencies, while something like Macroquad mostly relies only on the system libs(Windows API, X11, ..) depending on the platform. 

Some way to forward calls to fields in a struct. Since there is no data inheritance, it is not uncommon to create some sort of facade for the owning struct, to delegate calls to the different fields. This forwarding should have some special powers, like translating to partial borrows. "
4/29/2024 15:11:04,"Actually, I only use Rust to make game engines or tools for gamedev.",No engine / in-house engine,1,0,0,0,1,0,0,0,0,0,0,0,0,"Not much, I'm quite happy with it! "
4/29/2024 15:11:41,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,1,1,1,2,1,2,3,2,1,1,4,0,0,"Proper Algebraic Effects (and replace async with it), an instant-build JIT for dev-time, and partial/field-specific borrowing for functions."
4/29/2024 15:11:41,I'm still learning.,Bevy,5,1,0,4,2,0,0,2,0,2,1,0,0,Anything that improves iteration time
4/29/2024 15:12:06,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,4,4,2,4,2,1,1,1,0,1,4,1,1,"compile times, and rapid prototyping"
4/29/2024 15:12:30,I have at least one serious hobbyist project that I have or am planning to ship.,No engine / in-house engine,2,3,3,4,0,0,0,0,0,0,5,0,0,"* Make it possible to alias a trait, so that I can just use dyn T and impl T without having to type out what T actually is every single time (I note that using a macro here doesn't work, as macros are not allowed in trait position; impl T!() is a compile error)
* Make it easier to work with closures in general (this includes things like storing them somewhere; also I'm wondering why ""move"" isn't the default)
* Port rustc to stable rust"
4/29/2024 15:12:47,"I work by myself, but have a project that I have or am planning to sell.",No engine / in-house engine,2,0,0,5,1,0,5,2,0,0,5,2,0,"faster compile times, better mobile support"
4/29/2024 15:13:21,I have at least one serious hobbyist project that I have or am planning to ship.,No engine / in-house engine,5,3,4,1,3,0,0,0,0,4,2,0,0,"stabilise simd support, much faster compilation times (at least 3x), and better macro tooling (more ergonomic expansion in IDEs, better error messages, and better syntax)"
4/29/2024 15:14:41,"I work by myself or in a tiny team, and am attempting to support myself financially by selling games made in Rust.",Bevy,3,3,1,0,5,0,5,5,2,2,4,2,0,More leeway in strict typing/correctness for prototyping and just trying things out.
4/29/2024 15:14:55,I'm still learning.,Bevy,1,0,2,4,4,2,0,0,3,1,3,0,1,The chaos that is cargo 
4/29/2024 15:15:42,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,3,4,0,0,0,0,0,0,0,1,0,0,1,"variadics, better type resolution for complex Fn trait bounds, coroutines/generators"
4/29/2024 15:20:28,"I work by myself, but have a project that I have or am planning to sell.",ggez,4,0,2,0,4,0,0,0,2,1,5,0,0,"Better dynamic linking, tuple structs, and the macro system is more approachable"
4/29/2024 15:21:00,"I work by myself or in a tiny team, and am attempting to support myself financially by selling games made in Rust.",Bevy + In House Engine,3,2,1,0,2,0,2,0,0,0,0,0,0,"1. Stabilize specialization
2. Make the compiler lightning fast
3. Implement scan-able future stacks so that you could make @kyren's safe, ergonomic garbage collector idea work."
4/29/2024 15:21:38,I have at least one serious hobbyist project that I have or am planning to ship.,ggez,4,4,1,3,0,0,0,0,0,1,2,0,0,"self-referential structs, compile-time reflection, try blocks"
4/29/2024 15:22:41,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,2,0,2,0,2,2,0,2,0,1,1,0,2,"1) compile times 
2) Rust analyzer is very slow too
3) better ways to work with unsafe static mut when you absolutely know your app is single threaded "
4/29/2024 15:23:55,I'm still learning.,Bevy,5,0,0,3,5,3,4,4,3,0,5,0,0,Nothing
4/29/2024 15:24:34,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,5,1,4,2,0,2,0,0,1,2,4,0,1,"Instant compile times, sub second startup/refresh times in rust-analyzer after reloading vscode window and/or modifying crate dependencies, circular dependency avoidance alternatives to creating a bunch of new crates"
4/29/2024 15:25:23,I'm still learning.,Bevy,3,4,5,4,1,0,3,5,3,1,3,0,0,Unsure
4/29/2024 15:25:33,I have at least one serious hobbyist project that I have or am planning to ship.,No engine / in-house engine,1,0,3,0,3,0,3,3,0,0,0,3,0,"remove std from wasm32-unknown-unknown, remove static mut, magically make it know which arithmetic overflow behavior I want for each operation."
4/29/2024 15:25:48,I'm still learning.,Bevy,5,4,0,4,0,0,0,1,0,0,4,0,0,"Hot reloading, faster compile times"
4/29/2024 15:25:51,"I work by myself, but have a project that I have or am planning to sell.",Bevy,2,0,0,1,2,0,0,0,0,0,3,0,0,"Make ` as ` vs Into more defined, finish specialization and I guess more planed but still nightly/not implemented stuff"
4/29/2024 15:26:54,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,5,2,1,2,5,1,1,1,2,1,3,3,1,Make it easier to work with the borrow checker
4/29/2024 15:26:56,I am part of a company that is using Rust to make games.,Bevy,4,0,0,1,1,2,3,0,0,1,3,0,0,Ultra-fast build times. Easy scripting integration. Effortless module hot-reloading.
4/29/2024 15:26:59,I don't make games in Rust.,Bevy,1,0,0,2,3,0,0,0,0,0,4,0,0,"Compile and link time, full support for const generics and const fn, async support fully mature"
4/29/2024 15:28:01,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,5,4,1,0,0,0,0,0,2,1,4,0,0,"Hot reloading for code (like in webdev), a mature UI solution (with debugging like in webdev), mature localization support (integrated in engines)"
4/29/2024 15:28:06,"I work by myself, but have a project that I have or am planning to sell.",ggez,0,1,1,5,4,1,4,0,1,3,5,1,1,dont feel like there are tons or projects that live 3 years and then go into oblivion
4/29/2024 15:28:48,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,4,0,0,1,5,1,0,0,0,2,2,0,1, 
4/29/2024 15:28:51,I'm still learning.,Bevy,4,3,0,1,4,0,0,0,0,0,4,0,0,"Reduce compile times, native reflection, thanos snap the orphan rule"
4/29/2024 15:30:06,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,3,0,0,3,2,0,0,0,0,0,2,0,0,"Faster compilation, Faster Rust Analyzer and don't know enough for a third one"
4/29/2024 15:30:07,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,1,0,0,4,0,0,0,0,0,0,2,0,5,Native/Better Hot Reloading
4/29/2024 15:30:13,I'm still learning.,Bevy,0,0,3,3,2,0,3,4,3,0,4,0,0,Add a visual editor
4/29/2024 15:30:22,I'm still learning.,Bevy,3,3,0,2,4,0,0,0,0,0,5,0,0,"Async errors, compile time, assholes in the Rust Language Discord"
4/29/2024 15:30:29,I make games for my kids,Bevy,0,0,1,0,1,0,0,0,0,0,0,0,0,Sometimes when iterating over an idea the compiler is too strict. Interestingly I think Bevy abstractions are so good you don’t often hit common rust issues for small games at least
4/29/2024 15:30:34,"I work by myself, but have a project that I have or am planning to sell.",Bevy,1,0,2,3,0,1,5,5,0,0,3,0,1,Don't really have problem with Rust itself
4/29/2024 15:30:41,I have at least one serious hobbyist project that I have or am planning to ship.,Macroquad,2,1,0,0,0,0,0,0,2,1,1,0,0,Not sure
4/29/2024 15:31:02,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,5,1,1,1,0,2,2,2,2,2,2,4,0,Compilation time first and more mature game engine
4/29/2024 15:31:17,I am part of a company that is using Rust to make games.,Bevy,1,0,1,3,3,0,3,0,0,2,5,3,0,"Better renderers /GI in bevy, more support for artistic tooling, faster compile times"
4/29/2024 15:31:20,I'm still learning.,Bevy,1,2,2,4,3,1,1,1,1,2,3,1,1,"very short compile time, built-in hot-reload, auto derive"
4/29/2024 15:31:50,I am part of a large open source game written in Rust,No engine / in-house engine,4,2,2,1,3,0,3,3,0,3,3,0,1,"A good solution for shared libraries, a beginner mode with automatic arc/cloning, an easy to use gui solution"
4/29/2024 15:32:13,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,2,0,1,0,1,0,0,0,0,1,1,0,0,"compilation time, orphan rule, optional borrow checker in unsafe mode (maybe call it UNSAFE2: UNSHIPPABLE)"
4/29/2024 15:33:52,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,4,0,1,5,2,0,0,1,1,0,1,2,0,"1. Compilation time - Making the compile times so fast they can practically be called hot reload
2. First class support for reflection"
4/29/2024 15:34:41,"I work by myself, but have a project that I have or am planning to sell.",Bevy,3,1,0,1,4,1,0,0,0,2,5,0,4,"Variardic Generics, Compile Times, Ecosystem maturity"
4/29/2024 15:34:47,I'm still learning.,Bevy,3,3,0,4,3,0,3,3,2,0,3,3,2,n/a
4/29/2024 15:37:43,"I work by myself, but have a project that I have or am planning to sell.",ggez,1,0,1,0,3,0,0,5,4,1,2,0,0,"Debug code evaluation; Easy OS cross compilation, More crates like egui"
4/29/2024 15:39:37,I have at least one serious hobbyist project that I have or am planning to ship.,Macroquad,1,2,0,2,0,0,0,5,0,1,4,0,0,A way to bypass orphan rule
4/29/2024 15:39:46,"I work by myself, but have a project that I have or am planning to sell.",Bevy,2,1,0,0,1,0,0,0,0,1,3,0,0,Cross-crate dependency management in a workspace is hard
4/29/2024 15:41:02,I have at least one serious hobbyist project that I have or am planning to ship.,No engine / in-house engine,1,3,4,0,0,0,0,0,0,0,3,0,0,"* comptime like Zig (probably impossible)
* an idea: shared mutable references, e.g. &mut(shared) MyStruct
  this would allow modifying an integer inside MyStruct, or anything that is Copy (or Rc), but mut(shared) wouldn't be enough to modify a Vec, you would still need to get a &mut for that, probably with RefCell
  basically this would act as if all fields were Cells (or clone_cell::Cell), but automatically
* Something that would make it easy to implement a Godot like scene hierachy
  having arenas and ids for everything is too much work"
4/29/2024 15:41:55,I write rust code but not much game-dev but I dabbled with bevy a little bit,Bevy,4,0,2,2,2,0,0,1,1,3,4,0,1,"1) Faster compile times (obviously)
2) It would be great if rust had a compilation mode that completely relaxes the compiler borrow checker I know that's technically using unsafe everywhere but having such mode would allow for faster prototyping to test ideas out and we use the safe mode after prototyping (but yeah probably will never happen)
3) A More convenient way to work with global state"
4/29/2024 15:43:26,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,2,2,0,2,2,0,0,1,2,1,3,0,0,I honestly do not know enough about Rust to answer this question. I do not really need to use advanced Rust thanks to bevy (I count that as a serious plus btw).
4/29/2024 15:43:33,"I am still in university, so not working commercially, but use Rust to make game jam games (actual games! just small ones)",No engine / in-house engine,3,0,0,0,0,0,0,2,0,0,0,0,0,"A fast and robust rust-analyzer and reflection. Couldn't even come up with a good third one, hah."
4/29/2024 15:44:26,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,0,0,0,0,5,0,0,0,0,0,0,0,0,"Coroutine / generator support, more intuitive / fully featured futures, not sure on a good third thing tbh"
4/29/2024 15:45:12,"Actually, I only use Rust to make game engines or tools for gamedev.",Bevy,4,0,4,0,5,0,0,0,0,1,3,0,0,"Changing one file in a crate (bevy_render) does not necessitate recompiling the entire crate and all of its dependent crates (bevy_pbr, bevy_sprite, bevy_ui, etc, which themselves has dependents...). Really slows down iteration times. "
4/29/2024 15:45:20,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,1,2,2,2,0,0,0,0,0,1,1,0,0,"Syntax, relax borrow checker, dependency bloat"
4/29/2024 15:45:28,I'm still learning.,Bevy,0,1,1,1,5,2,0,5,5,2,2,1,1, dev speed
4/29/2024 15:45:56,I'm still learning.,Bevy,0,0,0,5,5,0,3,2,1,0,4,0,1,"Default argument values , Named Arguments, and Reflection"
4/29/2024 15:46:09,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,0,0,0,0,0,0,0,0,0,0,5,0,0,"Rust is fine, bevy really needs the new UI framework and a good widget library.  I know your're working on it.  Rust in general needs more and better UI frameworks."
4/29/2024 15:46:56,I'm still learning.,Bevy,2,0,0,2,5,0,0,0,0,0,0,0,0,"GUI, GUI, and GUI"
4/29/2024 15:47:31,"I work by myself, but have a project that I have or am planning to sell.",No engine / in-house engine,3,2,0,0,1,0,0,0,0,0,1,0,2, 
4/29/2024 15:47:35,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,4,0,0,0,0,0,4,0,0,0,0,0,0,"Variadic functions, runtime reflection, coroutines"
4/29/2024 15:47:38,I'm still learning.,No engine / in-house engine,0,3,4,1,4,1,4,0,0,0,0,1,0,Async calls in GUI that are quite a pain 
4/29/2024 15:48:36,"""I have at least one serious hobbyist project"" … for which ""shipping"" is not really the fundamental goal.",No engine / in-house engine,3,2,3,0,0,0,0,0,3,1,0,0,0,"1. Better project management and team leadership to reduce contributor burnout and increase the rate of things receiving proper maintenance.
2. A clean `wasm32-web` target with proper `std`.
3. Built-in “self-referential structs”, so it is no longer impossible-without-unsafe-help to write abstractions that wrap certain library types just because they are constructed like `impl Foo { fn bar(&self) -> Bar<'_>; }` and the thing to be abstracted over is the pair of Foo and Bar. ""Just put the borrowed-from thing in a stack variable"" is not a sufficient solution because it lacks composability. It's possible to design libraries that don't have this problem, but all too often that doesn't happen, and it makes the library have to have extra types (OwnedFoo vs. BorrowedFoo) or be generic over pointer types, whereas having the primitive self-referential struct would be a clean and efficient general-purpose abstraction in exactly the same way that `async` blocks + `Pin` already are for self-referential structs whose usage happens to fit the `Future::poll()` shape."
4/29/2024 15:48:48,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,5,0,1,2,3,0,0,4,0,0,2,0,0,compile times only
4/29/2024 15:48:49,"I work by myself, but have a project that I have or am planning to sell.",Bevy,4,1,0,0,2,0,0,0,0,0,0,0,0,"1) Shorter compile times
2) Ability to hot reload a small change in a method / function without the need to add crates or alter the code.
3) Easier way to mix different struct with the same trait (like building Vec/HashMap of structs implementing the X trait and then calling methods of the X trait) "
4/29/2024 15:49:06,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,1,0,0,0,3,1,0,0,1,1,3,1,0,"Error messages >_< ,"
4/29/2024 15:51:03,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,4,1,1,3,4,0,3,5,3,2,4,3,1,Faster compile times
4/29/2024 15:52:08,I am part of a company that is using Rust to make games.,Bevy,5,4,3,5,5,5,0,5,0,0,2,2,0,"hot reloading, faster incremental builds, gameplay examples i.e character controller examples, mini-games etc to showcase bevy"
